;winner
EUW1_5743673319;blue
EUW1_5743682688;blue
EUW1_5743689602;red
EUW1_5743692971;blue
EUW1_5743718398;blue
EUW1_5743723132;red
EUW1_5743723996;red
EUW1_5743726614;red
EUW1_5743738881;red
EUW1_5743742986;red
EUW1_5743753273;red
EUW1_5743758943;red
EUW1_5743772653;blue
EUW1_5743773261;red
EUW1_5743774067;red
EUW1_5743776195;red
EUW1_5743777087;red
EUW1_5743777826;red
EUW1_5743778736;red
EUW1_5743781839;red
EUW1_5743795129;blue
EUW1_5743799799;blue
EUW1_5743802223;blue
EUW1_5743812464;blue
EUW1_5743827385;red
EUW1_5743833705;red
EUW1_5743835074;blue
EUW1_5743840287;blue
EUW1_5743869221;red
EUW1_5743880856;blue
EUW1_5743893171;red
EUW1_5743914588;blue
EUW1_5743928463;red
EUW1_5743933581;blue
EUW1_5743952468;blue
EUW1_5743958678;red
EUW1_5743972715;red
EUW1_5743978997;red
EUW1_5744047100;blue
EUW1_5744061081;blue
EUW1_5744080033;red
EUW1_5744081725;blue
EUW1_5744087267;blue
EUW1_5744110109;blue
EUW1_5744124945;red
EUW1_5744128508;red
EUW1_5744162092;blue
EUW1_5744287116;blue
EUW1_5744292379;red
EUW1_5744310460;red
EUW1_5744311748;red
EUW1_5744314316;blue
EUW1_5744318437;red
EUW1_5744334523;red
EUW1_5744337452;red
EUW1_5744372469;red
EUW1_5744378320;blue
EUW1_5744390355;red
EUW1_5744390729;blue
EUW1_5744396765;red
EUW1_5744511725;blue
EUW1_5744516219;red
EUW1_5744532748;red
EUW1_5744566726;blue
EUW1_5744569695;blue
EUW1_5744583578;blue
EUW1_5744584105;red
EUW1_5744587234;red
EUW1_5744587659;red
EUW1_5744589101;blue
EUW1_5744597526;red
EUW1_5744609174;blue
EUW1_5744616231;blue
EUW1_5744657666;blue
EUW1_5744663474;blue
EUW1_5744664025;blue
EUW1_5744664595;red
EUW1_5744690068;red
EUW1_5744692504;blue
EUW1_5744697791;blue
EUW1_5744699959;red
EUW1_5744719702;blue
EUW1_5744733331;red
EUW1_5744737066;blue
EUW1_5744739818;blue
EUW1_5744744873;blue
EUW1_5744761958;blue
EUW1_5744762126;blue
EUW1_5744770694;red
EUW1_5744775849;blue
EUW1_5744788036;red
EUW1_5744790360;red
EUW1_5744804615;blue
EUW1_5744816129;blue
EUW1_5744818150;blue
EUW1_5744824206;red
EUW1_5744840433;red
EUW1_5744842069;red
EUW1_5744850813;red
EUW1_5744860239;red
EUW1_5744860365;blue
EUW1_5744861547;blue
EUW1_5744870530;red
EUW1_5744871977;red
EUW1_5744887987;red
EUW1_5744892946;blue
EUW1_5744903945;red
EUW1_5744908210;blue
EUW1_5744919045;red
EUW1_5744927825;blue
EUW1_5744933676;red
EUW1_5744943158;blue
EUW1_5744944445;red
EUW1_5744951473;blue
EUW1_5744952195;blue
EUW1_5744962179;blue
EUW1_5744982369;blue
EUW1_5744983386;red
EUW1_5744985741;red
EUW1_5744986535;blue
EUW1_5744996724;blue
EUW1_5745003148;blue
EUW1_5745007591;blue
EUW1_5745022809;blue
EUW1_5745026446;blue
EUW1_5745033661;red
EUW1_5745044236;red
EUW1_5745048168;blue
EUW1_5745064819;blue
EUW1_5745070273;red
EUW1_5745090552;blue
EUW1_5745107047;red
EUW1_5745121030;blue
EUW1_5745154475;blue
EUW1_5745157991;red
EUW1_5745161811;blue
EUW1_5745168938;blue
EUW1_5745169928;red
EUW1_5745174532;red
EUW1_5745180877;blue
EUW1_5745184478;blue
EUW1_5745188967;red
EUW1_5745189561;blue
EUW1_5745192256;red
EUW1_5745196881;red
EUW1_5745200231;blue
EUW1_5745201527;blue
EUW1_5745204939;red
EUW1_5745205407;blue
EUW1_5745209725;red
EUW1_5745222007;red
EUW1_5745224790;blue
EUW1_5745225077;blue
EUW1_5745225849;blue
EUW1_5745233637;red
EUW1_5745237017;red
EUW1_5745239322;red
EUW1_5745241057;red
EUW1_5745242708;red
EUW1_5745255278;red
EUW1_5745272933;red
EUW1_5745277222;blue
EUW1_5745281320;red
EUW1_5745283312;blue
EUW1_5745284735;red
EUW1_5745287071;red
EUW1_5745296153;blue
EUW1_5745304965;blue
EUW1_5745310814;blue
EUW1_5745311018;red
EUW1_5745312753;red
EUW1_5745313260;blue
EUW1_5745317597;red
EUW1_5745319245;red
EUW1_5745325339;blue
EUW1_5745338348;red
EUW1_5745349389;red
EUW1_5745350937;blue
EUW1_5745351256;red
EUW1_5745356048;blue
EUW1_5745357211;blue
EUW1_5745359480;blue
EUW1_5745359827;blue
EUW1_5745361638;red
EUW1_5745374617;red
EUW1_5745377804;blue
EUW1_5745394669;blue
EUW1_5745406299;red
EUW1_5745408739;blue
EUW1_5745410104;blue
EUW1_5745413305;red
EUW1_5745422320;red
EUW1_5745423966;blue
EUW1_5745426606;blue
EUW1_5745429589;red
EUW1_5745437971;red
EUW1_5745440823;blue
EUW1_5745444226;blue
EUW1_5745446665;red
EUW1_5745449444;red
EUW1_5745454369;blue
EUW1_5745459948;red
EUW1_5745473361;blue
EUW1_5745473962;blue
EUW1_5745477248;blue
EUW1_5745488551;blue
EUW1_5745496650;blue
EUW1_5745499936;red
EUW1_5745520750;red
EUW1_5745527850;red
EUW1_5745539139;red
EUW1_5745540405;red
EUW1_5745541085;red
EUW1_5745541485;red
EUW1_5745543573;blue
EUW1_5745543697;blue
EUW1_5745545163;red
EUW1_5745549547;red
EUW1_5745567537;red
EUW1_5745576480;blue
EUW1_5745584358;red
EUW1_5745586664;red
EUW1_5745597775;red
EUW1_5745622439;blue
EUW1_5745626225;red
EUW1_5745628744;red
EUW1_5745629925;blue
EUW1_5745634695;red
EUW1_5745640887;blue
EUW1_5745658566;blue
EUW1_5745662349;red
EUW1_5745666472;red
EUW1_5745673593;blue
EUW1_5745677833;blue
EUW1_5745680646;blue
EUW1_5745681608;red
EUW1_5745696935;blue
EUW1_5745710183;blue
EUW1_5745717806;red
EUW1_5745733130;blue
EUW1_5745738305;blue
EUW1_5745744206;blue
EUW1_5745753476;blue
EUW1_5745759867;blue
EUW1_5745780995;red
EUW1_5745788518;red
EUW1_5745790294;red
EUW1_5745793314;blue
EUW1_5745804219;red
EUW1_5745833618;blue
EUW1_5745839150;blue
EUW1_5745845792;blue
EUW1_5745848248;blue
EUW1_5745848728;blue
EUW1_5745857194;red
EUW1_5745858434;red
EUW1_5745866112;blue
EUW1_5745893831;blue
EUW1_5745895242;red
EUW1_5745897748;blue
EUW1_5745920041;blue
EUW1_5745920988;blue
EUW1_5745924422;red
EUW1_5745937563;blue
EUW1_5745945999;red
EUW1_5745949378;blue
EUW1_5745959588;blue
EUW1_5745962117;blue
EUW1_5745963202;blue
EUW1_5745967883;red
EUW1_5745983380;red
EUW1_5745983820;red
EUW1_5745989129;blue
EUW1_5746002337;blue
EUW1_5746015872;red
EUW1_5746019737;blue
EUW1_5746020604;blue
EUW1_5746023841;red
EUW1_5746030898;blue
EUW1_5746042537;red
EUW1_5746046616;blue
EUW1_5746058798;red
EUW1_5746060571;red
EUW1_5746071637;red
EUW1_5746083118;red
EUW1_5746084178;red
EUW1_5746088842;red
EUW1_5746094729;red
EUW1_5746116173;blue
EUW1_5746117657;red
EUW1_5746120891;red
EUW1_5746121674;red
EUW1_5746134761;blue
EUW1_5746142679;blue
EUW1_5746145913;blue
EUW1_5746152272;red
EUW1_5746160177;red
EUW1_5746169045;red
EUW1_5746172269;blue
EUW1_5746172809;blue
EUW1_5746176819;blue
EUW1_5746181918;red
EUW1_5746186091;blue
EUW1_5746194241;red
EUW1_5746206677;blue
EUW1_5746216901;blue
EUW1_5746217203;red
EUW1_5746220104;blue
EUW1_5746222873;red
EUW1_5746228353;red
EUW1_5746235518;red
EUW1_5746240341;red
EUW1_5746249111;red
EUW1_5746270822;blue
EUW1_5746301087;blue
EUW1_5746305926;red
EUW1_5746306570;red
EUW1_5746314379;blue
EUW1_5746318249;red
EUW1_5746323380;blue
EUW1_5746325621;blue
EUW1_5746341324;red
EUW1_5746341760;blue
EUW1_5746347526;blue
EUW1_5746359500;blue
EUW1_5746364070;blue
EUW1_5746368388;red
EUW1_5746380719;red
EUW1_5746381762;red
EUW1_5746384411;blue
EUW1_5746397947;red
EUW1_5746405934;red
EUW1_5746415691;red
EUW1_5746428508;red
EUW1_5746435489;blue
EUW1_5746441158;red
EUW1_5746456001;blue
EUW1_5746456381;blue
EUW1_5746485599;blue
EUW1_5746489406;blue
EUW1_5746489932;red
EUW1_5746502287;red
EUW1_5746502581;blue
EUW1_5746507547;red
EUW1_5746511848;blue
EUW1_5746521186;red
EUW1_5746567848;blue
EUW1_5746589399;blue
EUW1_5746591247;blue
EUW1_5746592611;blue
EUW1_5746615290;red
EUW1_5746623862;red
EUW1_5746632351;blue
EUW1_5746638435;blue
EUW1_5746659335;red
EUW1_5746659924;red
EUW1_5746677046;red
EUW1_5746677248;blue
EUW1_5746682353;red
EUW1_5746682433;red
EUW1_5746684031;blue
EUW1_5746684649;red
EUW1_5746689019;red
EUW1_5746699797;red
EUW1_5746709746;red
EUW1_5746720550;blue
EUW1_5746725157;red
EUW1_5746726892;red
EUW1_5746728039;red
EUW1_5746732137;blue
EUW1_5746733942;blue
EUW1_5746735848;blue
EUW1_5746752226;blue
EUW1_5746754947;blue
EUW1_5746757245;blue
EUW1_5746758523;red
EUW1_5746758875;red
EUW1_5746774171;red
EUW1_5746776155;blue
EUW1_5746779596;blue
EUW1_5746783164;blue
EUW1_5746786297;red
EUW1_5746787786;red
EUW1_5746789959;blue
EUW1_5746790693;blue
EUW1_5746798781;red
EUW1_5746802293;blue
EUW1_5746811141;red
EUW1_5746813750;red
EUW1_5746826455;blue
EUW1_5746829930;red
EUW1_5746831002;blue
EUW1_5746835112;red
EUW1_5746850557;blue
EUW1_5746853378;blue
EUW1_5746869507;red
EUW1_5746870636;red
EUW1_5746878665;red
EUW1_5746883623;red
EUW1_5746883636;blue
EUW1_5746890731;red
EUW1_5746893464;red
EUW1_5746911267;red
EUW1_5746917192;red
EUW1_5746918891;blue
EUW1_5746923665;red
EUW1_5746924349;red
EUW1_5746950607;red
EUW1_5746954527;red
EUW1_5746961015;red
EUW1_5746986621;red
EUW1_5746989702;red
EUW1_5746992978;red
EUW1_5747017698;blue
EUW1_5747027484;red
EUW1_5747030712;blue
EUW1_5747041837;red
EUW1_5747054288;red
EUW1_5747055907;red
EUW1_5747056160;blue
EUW1_5747056998;blue
EUW1_5747060568;blue
EUW1_5747082160;blue
EUW1_5747083159;red
EUW1_5747083636;blue
EUW1_5747085762;blue
EUW1_5747096502;blue
EUW1_5747108827;blue
EUW1_5747109474;red
EUW1_5747116884;blue
EUW1_5747149359;blue
EUW1_5747202240;red
EUW1_5747241410;red
EUW1_5747245191;red
EUW1_5747256719;blue
EUW1_5747258852;blue
EUW1_5747264229;red
EUW1_5747317663;blue
EUW1_5747351250;red
EUW1_5747352362;red
EUW1_5747423769;blue
EUW1_5747434119;red
EUW1_5747439497;blue
EUW1_5747450538;red
EUW1_5747462892;red
EUW1_5747477127;blue
EUW1_5747505155;red
EUW1_5747506171;blue
EUW1_5747696171;red
EUW1_5747699524;red
EUW1_5747701710;red
EUW1_5747706141;red
EUW1_5747739237;blue
EUW1_5747762170;blue
EUW1_5747767907;blue
EUW1_5747794211;blue
EUW1_5747811088;blue
EUW1_5747817204;blue
EUW1_5747823160;red
EUW1_5747828829;red
EUW1_5747839727;red
EUW1_5747844305;red
EUW1_5747855476;blue
EUW1_5747858854;blue
EUW1_5747862521;blue
EUW1_5747873806;red
EUW1_5747876547;red
EUW1_5747876772;blue
EUW1_5747880108;blue
EUW1_5747881614;red
EUW1_5747889240;blue
EUW1_5747891747;red
EUW1_5747895761;blue
EUW1_5747907173;blue
EUW1_5747913862;red
EUW1_5747918703;blue
EUW1_5747929817;blue
EUW1_5747933891;blue
EUW1_5747935706;blue
EUW1_5747945862;blue
EUW1_5747946227;blue
EUW1_5747953986;blue
EUW1_5747967294;red
EUW1_5747969995;blue
EUW1_5747973226;red
EUW1_5747975645;blue
EUW1_5747976077;blue
EUW1_5747989020;blue
EUW1_5747991532;red
EUW1_5747992640;red
EUW1_5748001935;red
EUW1_5748002268;blue
EUW1_5748005953;red
EUW1_5748008138;red
EUW1_5748009258;red
EUW1_5748015111;red
EUW1_5748017527;red
EUW1_5748019228;red
EUW1_5748019890;red
EUW1_5748020905;blue
EUW1_5748021705;red
EUW1_5748023530;red
EUW1_5748026145;blue
EUW1_5748026916;blue
EUW1_5748031591;red
EUW1_5748039628;red
EUW1_5748042083;blue
EUW1_5748045394;blue
EUW1_5748046792;blue
EUW1_5748051286;red
EUW1_5748056452;red
EUW1_5748071729;red
EUW1_5748072661;blue
EUW1_5748087187;blue
EUW1_5748094114;red
EUW1_5748095963;red
EUW1_5748098091;red
EUW1_5748101182;red
EUW1_5748103286;blue
EUW1_5748116280;red
EUW1_5748123403;blue
EUW1_5748130897;blue
EUW1_5748135228;blue
EUW1_5748140329;blue
EUW1_5748143931;blue
EUW1_5748144005;blue
EUW1_5748146764;red
EUW1_5748152794;blue
EUW1_5748157088;blue
EUW1_5748160404;blue
EUW1_5748165717;red
EUW1_5748172611;blue
EUW1_5748200341;blue
EUW1_5748202140;red
EUW1_5748207018;red
EUW1_5748207928;blue
EUW1_5748208594;red
EUW1_5748210571;red
EUW1_5748219788;red
EUW1_5748222282;red
EUW1_5748241322;blue
EUW1_5748251330;red
EUW1_5748257212;red
EUW1_5748259720;blue
EUW1_5748275189;blue
EUW1_5748277282;red
EUW1_5748283366;blue
EUW1_5748284101;blue
EUW1_5748292942;blue
EUW1_5748297716;blue
EUW1_5748297955;blue
EUW1_5748304742;blue
EUW1_5748309692;red
EUW1_5748320818;blue
EUW1_5748325460;blue
EUW1_5748327884;red
EUW1_5748329907;red
EUW1_5748348150;red
EUW1_5748356231;blue
EUW1_5748372086;blue
EUW1_5748377935;red
EUW1_5748385775;red
EUW1_5748392707;red
EUW1_5748401137;red
EUW1_5748405256;blue
EUW1_5748416775;red
EUW1_5748439491;blue
EUW1_5748453580;blue
EUW1_5748470041;blue
EUW1_5748474108;blue
EUW1_5748478168;red
EUW1_5748508918;red
EUW1_5748532466;red
EUW1_5748549236;blue
EUW1_5748555864;blue
EUW1_5748556082;red
EUW1_5748559510;blue
EUW1_5748575871;red
EUW1_5748577579;red
EUW1_5748579619;red
EUW1_5748592949;red
EUW1_5748593986;blue
EUW1_5748596543;red
EUW1_5748597265;red
EUW1_5748597617;blue
EUW1_5748608822;blue
EUW1_5748609577;red
EUW1_5748610169;red
EUW1_5748610868;red
EUW1_5748613307;blue
EUW1_5748617858;blue
EUW1_5748619596;blue
EUW1_5748624626;blue
EUW1_5748625188;blue
EUW1_5748635129;blue
EUW1_5748635615;red
EUW1_5748639439;blue
EUW1_5748644669;red
EUW1_5748645825;red
EUW1_5748649253;blue
EUW1_5748655164;blue
EUW1_5748661370;red
EUW1_5748662840;blue
EUW1_5748672148;blue
EUW1_5748673568;red
EUW1_5748675468;red
EUW1_5748676944;red
EUW1_5748677101;red
EUW1_5748680235;blue
EUW1_5748681285;red
EUW1_5748686797;blue
EUW1_5748694757;blue
EUW1_5748698305;blue
EUW1_5748698357;red
EUW1_5748700763;red
EUW1_5748706825;red
EUW1_5748712280;blue
EUW1_5748721239;blue
EUW1_5748728209;blue
EUW1_5748735784;red
EUW1_5748737905;blue
EUW1_5748742098;blue
EUW1_5748744223;blue
EUW1_5748746023;red
EUW1_5748751680;blue
EUW1_5748753252;blue
EUW1_5748763891;blue
EUW1_5748767988;red
EUW1_5748768683;red
EUW1_5748776574;blue
EUW1_5748782760;red
EUW1_5748797590;red
EUW1_5748814979;red
EUW1_5748816728;blue
EUW1_5748820377;red
EUW1_5748825752;blue
EUW1_5748829874;blue
EUW1_5748844407;blue
EUW1_5748846564;red
EUW1_5748849297;red
EUW1_5748852972;blue
EUW1_5748862397;red
EUW1_5748865833;blue
EUW1_5748865996;red
EUW1_5748867993;blue
EUW1_5748886843;red
EUW1_5748888938;red
EUW1_5748898716;red
EUW1_5748901609;red
EUW1_5748911233;blue
EUW1_5748914460;blue
EUW1_5748917537;blue
EUW1_5748918271;red
EUW1_5748923129;red
EUW1_5748929889;blue
EUW1_5748937156;red
EUW1_5748949769;blue
EUW1_5748957785;blue
EUW1_5748968180;red
EUW1_5748972014;blue
EUW1_5748974029;blue
EUW1_5748977432;red
EUW1_5748981857;blue
EUW1_5748982045;red
EUW1_5748983659;blue
EUW1_5748987732;red
EUW1_5748993766;red
EUW1_5749003618;blue
EUW1_5749008414;blue
EUW1_5749012578;blue
EUW1_5749022926;red
EUW1_5749025017;red
EUW1_5749026974;blue
EUW1_5749028416;blue
EUW1_5749030154;red
EUW1_5749032651;red
EUW1_5749049650;red
EUW1_5749055148;blue
EUW1_5749056430;blue
EUW1_5749061040;red
EUW1_5749061432;blue
EUW1_5749062406;red
EUW1_5749067323;blue
EUW1_5749070022;blue
EUW1_5749093424;red
EUW1_5749100154;blue
EUW1_5749109555;blue
EUW1_5749118350;red
EUW1_5749136260;red
EUW1_5749138232;blue
EUW1_5749139585;blue
EUW1_5749154231;red
EUW1_5749155659;red
EUW1_5749168362;red
EUW1_5749168818;blue
EUW1_5749173928;red
EUW1_5749191207;red
EUW1_5749197239;red
EUW1_5749204436;blue
EUW1_5749212111;blue
EUW1_5749213608;blue
EUW1_5749214199;red
EUW1_5749226954;red
EUW1_5749228765;red
EUW1_5749230145;red
EUW1_5749238038;red
EUW1_5749243421;red
EUW1_5749251043;blue
EUW1_5749253697;red
EUW1_5749262581;blue
EUW1_5749267943;blue
EUW1_5749287241;blue
EUW1_5749287429;blue
EUW1_5749292293;red
EUW1_5749299905;blue
EUW1_5749300213;red
EUW1_5749300554;blue
EUW1_5749316888;red
EUW1_5749334319;blue
EUW1_5749341451;red
EUW1_5749343581;blue
EUW1_5749357857;blue
EUW1_5749359414;red
EUW1_5749359851;blue
EUW1_5749365820;red
EUW1_5749373243;blue
EUW1_5749377077;blue
EUW1_5749379058;blue
EUW1_5749387428;blue
EUW1_5749393426;blue
EUW1_5749399355;blue
EUW1_5749410215;blue
EUW1_5749412165;blue
EUW1_5749418682;blue
EUW1_5749449650;blue
EUW1_5749452474;red
EUW1_5749466573;red
EUW1_5749482386;red
EUW1_5749485846;blue
EUW1_5749488308;blue
EUW1_5749491240;blue
EUW1_5749494149;blue
EUW1_5749500007;red
EUW1_5749505852;red
EUW1_5749506236;red
EUW1_5749509496;red
EUW1_5749519818;blue
EUW1_5749532457;blue
EUW1_5749533986;blue
EUW1_5749543293;blue
EUW1_5749550798;red
EUW1_5749558542;blue
EUW1_5749569192;blue
EUW1_5749579366;blue
EUW1_5749592427;blue
EUW1_5749598306;blue
EUW1_5749598386;red
EUW1_5749601916;red
EUW1_5749613635;red
EUW1_5749620178;red
EUW1_5749621332;red
EUW1_5749631532;blue
EUW1_5749644844;blue
EUW1_5749645977;blue
EUW1_5749646314;blue
EUW1_5749647622;red
EUW1_5749650991;blue
EUW1_5749657578;blue
EUW1_5749657755;red
EUW1_5749669503;blue
EUW1_5749669716;blue
EUW1_5749673135;red
EUW1_5749679162;blue
EUW1_5749680782;blue
EUW1_5749681439;red
EUW1_5749695004;blue
EUW1_5749695951;red
EUW1_5749708259;blue
EUW1_5749728727;red
EUW1_5749729061;blue
EUW1_5749743356;red
EUW1_5749749858;blue
EUW1_5749754894;red
EUW1_5749760909;red
EUW1_5749771650;blue
EUW1_5749787558;blue
EUW1_5749789740;red
EUW1_5749791257;red
EUW1_5749793698;red
EUW1_5749796582;red
EUW1_5749802060;blue
EUW1_5749809456;blue
EUW1_5749814297;blue
EUW1_5749817243;red
EUW1_5749820978;blue
EUW1_5749822346;red
EUW1_5749835677;blue
EUW1_5749851888;blue
EUW1_5749853430;red
EUW1_5749868972;red
EUW1_5749870525;blue
EUW1_5749880721;blue
EUW1_5749883887;red
EUW1_5749887861;blue
EUW1_5749888684;blue
EUW1_5749906312;blue
EUW1_5749916542;blue
EUW1_5749921150;red
EUW1_5749947386;blue
EUW1_5749952564;red
EUW1_5749965273;blue
EUW1_5749968676;red
EUW1_5749968766;red
EUW1_5749981474;blue
EUW1_5749995674;blue
EUW1_5749997054;blue
EUW1_5749998958;red
EUW1_5750000007;blue
EUW1_5750013093;blue
EUW1_5750019059;blue
EUW1_5750019142;blue
EUW1_5750020384;red
EUW1_5750026389;blue
EUW1_5750040230;red
EUW1_5750042086;red
EUW1_5750045549;blue
EUW1_5750046913;blue
EUW1_5750054584;blue
EUW1_5750057650;red
EUW1_5750059697;red
EUW1_5750061053;red
EUW1_5750069815;red
EUW1_5750072311;red
EUW1_5750083482;red
EUW1_5750083600;red
EUW1_5750086828;blue
EUW1_5750095358;red
EUW1_5750097263;red
EUW1_5750099602;blue
EUW1_5750105083;blue
EUW1_5750108198;red
EUW1_5750122127;red
EUW1_5750122779;blue
EUW1_5750124026;blue
EUW1_5750126884;red
EUW1_5750127208;red
EUW1_5750130642;blue
EUW1_5750131961;blue
EUW1_5750132288;blue
EUW1_5750132688;red
EUW1_5750137115;blue
EUW1_5750138630;red
EUW1_5750148340;blue
EUW1_5750148663;red
EUW1_5750155222;blue
EUW1_5750155278;blue
EUW1_5750157679;blue
EUW1_5750160146;blue
EUW1_5750167240;red
EUW1_5750174499;blue
EUW1_5750193794;red
EUW1_5750194394;red
EUW1_5750198092;red
EUW1_5750201215;red
EUW1_5750208130;red
EUW1_5750209519;blue
EUW1_5750238127;red
EUW1_5750240073;blue
EUW1_5750311227;red
EUW1_5750312059;blue
EUW1_5750312628;blue
EUW1_5750314762;red
EUW1_5750319805;red
EUW1_5750347882;blue
EUW1_5750349901;red
EUW1_5750353008;red
EUW1_5750366674;blue
EUW1_5750379179;blue
EUW1_5750390309;red
EUW1_5750394576;red
EUW1_5750395011;red
EUW1_5750400358;blue
EUW1_5750403160;red
EUW1_5750405452;red
EUW1_5750406746;red
EUW1_5750463734;red
EUW1_5750463811;blue
EUW1_5750469363;red
EUW1_5750534890;blue
EUW1_5750537905;red
EUW1_5750538900;blue
EUW1_5750564053;blue
EUW1_5750564162;blue
EUW1_5750567207;blue
EUW1_5750569481;blue
EUW1_5750570585;blue
EUW1_5750578615;red
EUW1_5750590080;blue
EUW1_5750600563;red
EUW1_5750603513;blue
EUW1_5750606625;red
EUW1_5750615247;red
EUW1_5750617057;red
EUW1_5750629359;red
EUW1_5750634197;blue
EUW1_5750638233;red
EUW1_5750643110;red
EUW1_5750677823;red
EUW1_5750752592;red
EUW1_5750765635;blue
EUW1_5750766090;red
EUW1_5750774155;red
EUW1_5750804755;blue
EUW1_5750806255;red
EUW1_5750812327;blue
EUW1_5750818384;blue
EUW1_5750821762;blue
EUW1_5750821858;red
EUW1_5750825426;red
EUW1_5750826199;blue
EUW1_5750832140;blue
EUW1_5750833090;blue
EUW1_5750835621;blue
EUW1_5750836786;blue
EUW1_5750838764;red
EUW1_5750861819;blue
EUW1_5750878244;red
EUW1_5750884306;blue
EUW1_5750886119;red
EUW1_5750892945;blue
EUW1_5750894311;blue
EUW1_5750902087;blue
EUW1_5750903653;red
EUW1_5750906172;blue
EUW1_5750923347;red
EUW1_5750923921;red
EUW1_5750926044;red
EUW1_5750930009;blue
EUW1_5750930576;blue
EUW1_5750931604;blue
EUW1_5750941394;red
EUW1_5750942345;red
EUW1_5750957463;red
EUW1_5750960152;red
EUW1_5750966921;red
EUW1_5750980894;blue
EUW1_5750981935;blue
EUW1_5750983340;red
EUW1_5750988335;blue
EUW1_5750988843;red
EUW1_5750991058;blue
EUW1_5750992714;red
EUW1_5750997745;red
EUW1_5750997910;blue
EUW1_5751002487;red
EUW1_5751004475;blue
EUW1_5751015806;blue
EUW1_5751024569;red
EUW1_5751035575;blue
EUW1_5751053685;red
EUW1_5751054331;red
EUW1_5751074054;blue
EUW1_5751077578;blue
EUW1_5751080622;red
EUW1_5751093900;red
EUW1_5751099518;red
EUW1_5751107538;blue
EUW1_5751108190;red
EUW1_5751112107;red
EUW1_5751115310;red
EUW1_5751117705;red
EUW1_5751118604;red
EUW1_5751120837;red
EUW1_5751120986;blue
EUW1_5751130054;blue
EUW1_5751134579;red
EUW1_5751135390;blue
EUW1_5751138799;red
EUW1_5751140111;blue
EUW1_5751163132;blue
EUW1_5751182326;blue
EUW1_5751186883;red
EUW1_5751197168;red
EUW1_5751214417;blue
EUW1_5751215423;red
EUW1_5751216458;red
EUW1_5751219434;blue
EUW1_5751222494;red
EUW1_5751231802;blue
EUW1_5751233036;red
EUW1_5751239317;blue
EUW1_5751239737;blue
EUW1_5751266059;red
EUW1_5751275343;blue
EUW1_5751285393;red
EUW1_5751286593;blue
EUW1_5751291713;red
EUW1_5751293197;blue
EUW1_5751296091;red
EUW1_5751307568;red
EUW1_5751309733;red
EUW1_5751310155;blue
EUW1_5751327839;blue
EUW1_5751331582;blue
EUW1_5751335018;red
EUW1_5751336883;blue
EUW1_5751345330;blue
EUW1_5751356913;red
EUW1_5751360428;red
EUW1_5751367419;red
EUW1_5751369552;red
EUW1_5751374583;red
EUW1_5751419176;blue
EUW1_5751427663;blue
EUW1_5751433563;blue
EUW1_5751439710;red
EUW1_5751443352;blue
EUW1_5751444940;red
EUW1_5751448739;blue
EUW1_5751451363;blue
EUW1_5751454231;blue
EUW1_5751460478;blue
EUW1_5751463234;red
EUW1_5751465587;red
EUW1_5751466123;red
EUW1_5751470381;blue
EUW1_5751479167;red
EUW1_5751483941;red
EUW1_5751487509;red
EUW1_5751502281;blue
EUW1_5751518709;red
EUW1_5751530486;red
EUW1_5751534288;red
EUW1_5751542954;red
EUW1_5751555325;blue
EUW1_5751555334;red
EUW1_5751559425;red
EUW1_5751563285;red
EUW1_5751581834;blue
EUW1_5751586050;blue
EUW1_5751604299;blue
EUW1_5751608907;blue
EUW1_5751614482;red
EUW1_5751618124;red
EUW1_5751630674;red
EUW1_5751639438;red
EUW1_5751659640;blue
EUW1_5751680450;blue
EUW1_5751708328;red
EUW1_5751725184;red
EUW1_5751737347;red
EUW1_5751754819;blue
EUW1_5751775979;red
EUW1_5751778840;red
EUW1_5751780559;blue
EUW1_5751788767;blue
EUW1_5751790171;red
EUW1_5751794480;blue
EUW1_5751799278;blue
EUW1_5751829989;blue
EUW1_5751838262;red
EUW1_5751845279;blue
EUW1_5751846134;blue
EUW1_5751857955;blue
EUW1_5751873194;blue
EUW1_5751873429;blue
EUW1_5751877304;red
EUW1_5751883666;red
EUW1_5751884032;blue
EUW1_5751895403;red
EUW1_5751896627;blue
EUW1_5751899375;red
EUW1_5751902277;blue
EUW1_5751904815;red
EUW1_5751907443;blue
EUW1_5751911525;red
EUW1_5751913108;red
EUW1_5751917555;blue
EUW1_5751924118;red
EUW1_5751925661;blue
EUW1_5751928026;red
EUW1_5751937800;red
EUW1_5751939214;red
EUW1_5751939377;blue
EUW1_5751941804;blue
EUW1_5751942515;red
EUW1_5751944479;blue
EUW1_5751949771;blue
EUW1_5751955281;red
EUW1_5751965271;blue
EUW1_5751967569;red
EUW1_5751970405;red
EUW1_5751972360;red
EUW1_5751982537;red
EUW1_5751988692;blue
EUW1_5751991170;blue
EUW1_5751994803;red
EUW1_5752008906;blue
EUW1_5752009263;red
EUW1_5752013189;red
EUW1_5752019757;blue
EUW1_5752025711;red
EUW1_5752027033;red
EUW1_5752034528;blue
EUW1_5752043909;blue
EUW1_5752055778;red
EUW1_5752061804;blue
EUW1_5752064748;red
EUW1_5752071598;red
EUW1_5752071843;blue
EUW1_5752073084;blue
EUW1_5752080058;blue
EUW1_5752081179;red
EUW1_5752082316;blue
EUW1_5752088512;red
EUW1_5752088994;red
EUW1_5752092877;red
EUW1_5752097813;blue
EUW1_5752098501;red
