;winner
EUW1_5735774104;blue
EUW1_5735826851;blue
EUW1_5735832377;red
EUW1_5735847298;red
EUW1_5735848137;red
EUW1_5735862312;blue
EUW1_5735863571;blue
EUW1_5735900156;blue
EUW1_5735912744;red
EUW1_5735916213;red
EUW1_5735943677;red
EUW1_5735980138;blue
EUW1_5735986320;blue
EUW1_5735994228;red
EUW1_5735998388;blue
EUW1_5736022983;red
EUW1_5736056181;red
EUW1_5736067200;red
EUW1_5736074351;blue
EUW1_5736108011;blue
EUW1_5736138518;red
EUW1_5736151279;red
EUW1_5736154616;red
EUW1_5736172003;red
EUW1_5736180696;red
EUW1_5736197532;red
EUW1_5736228492;blue
EUW1_5736233622;blue
EUW1_5736250866;red
EUW1_5736254759;blue
EUW1_5736262150;red
EUW1_5736279382;blue
EUW1_5736280786;red
EUW1_5736286884;red
EUW1_5736410908;red
EUW1_5736418156;blue
EUW1_5736466206;red
EUW1_5736505731;blue
EUW1_5736536783;red
EUW1_5736777557;red
EUW1_5736788112;blue
EUW1_5736806723;red
EUW1_5736822932;blue
EUW1_5736842024;red
EUW1_5736842373;red
EUW1_5736879233;red
EUW1_5736879325;red
EUW1_5736919782;blue
EUW1_5736930281;red
EUW1_5736988313;blue
EUW1_5736988511;blue
EUW1_5736996809;blue
EUW1_5737024831;red
EUW1_5737034000;blue
EUW1_5737061845;blue
EUW1_5737072899;blue
EUW1_5737093955;blue
EUW1_5737102209;blue
EUW1_5737110096;red
EUW1_5737130490;blue
EUW1_5737158202;red
EUW1_5737177980;red
EUW1_5737182015;red
EUW1_5737204112;blue
EUW1_5737210247;red
EUW1_5737273310;blue
EUW1_5737274869;red
EUW1_5737288975;blue
EUW1_5737291345;red
EUW1_5737297962;red
EUW1_5737316555;blue
EUW1_5737318111;red
EUW1_5737321397;blue
EUW1_5737322008;blue
EUW1_5737339262;blue
EUW1_5737369810;red
EUW1_5737378371;blue
EUW1_5737382879;blue
EUW1_5737390985;blue
EUW1_5737394021;red
EUW1_5737404123;blue
EUW1_5737407501;red
EUW1_5737415001;blue
EUW1_5737415407;blue
EUW1_5737449294;red
EUW1_5737462515;red
EUW1_5737467323;red
EUW1_5737468858;blue
EUW1_5737471264;red
EUW1_5737481612;red
EUW1_5737493576;red
EUW1_5737497797;red
EUW1_5737505389;red
EUW1_5737531575;red
EUW1_5737536668;blue
EUW1_5737537320;red
EUW1_5737543674;red
EUW1_5737565742;blue
EUW1_5737568389;red
EUW1_5737595585;red
EUW1_5737596896;blue
EUW1_5737599196;blue
EUW1_5737599454;red
EUW1_5737601852;red
EUW1_5737610563;blue
EUW1_5737636607;red
EUW1_5737652995;red
EUW1_5737661229;blue
EUW1_5737666824;red
EUW1_5737683174;red
EUW1_5737692287;blue
EUW1_5737713468;red
EUW1_5737719434;blue
EUW1_5737729660;red
EUW1_5737741690;blue
EUW1_5737752446;blue
EUW1_5737753241;red
EUW1_5737767124;red
EUW1_5737767427;red
EUW1_5737803298;red
EUW1_5737809554;blue
EUW1_5737812966;red
EUW1_5737815551;blue
EUW1_5737832114;blue
EUW1_5737849050;red
EUW1_5737892415;red
EUW1_5737905193;red
EUW1_5737910316;red
EUW1_5737910806;blue
EUW1_5737911562;blue
EUW1_5737916841;blue
EUW1_5737952724;blue
EUW1_5737956708;red
EUW1_5737962162;red
EUW1_5737998020;blue
EUW1_5738024540;red
EUW1_5738037625;red
EUW1_5738052968;red
EUW1_5738054894;blue
EUW1_5738061354;blue
EUW1_5738090157;blue
EUW1_5738112035;red
EUW1_5738119145;blue
EUW1_5738128546;blue
EUW1_5738160736;blue
EUW1_5738167161;red
EUW1_5738202620;blue
EUW1_5738205616;red
EUW1_5738268577;blue
EUW1_5738278002;red
EUW1_5738294824;blue
EUW1_5738443789;red
EUW1_5738468738;blue
EUW1_5738509023;blue
EUW1_5738532689;red
EUW1_5738569460;red
EUW1_5738577352;blue
EUW1_5738772944;blue
EUW1_5738797208;blue
EUW1_5738800920;red
EUW1_5738816901;red
EUW1_5738817412;red
EUW1_5738833713;blue
EUW1_5738891421;blue
EUW1_5738916712;red
EUW1_5738928829;blue
EUW1_5738956733;red
EUW1_5738957603;blue
EUW1_5738965380;blue
EUW1_5738970564;red
EUW1_5739003766;red
EUW1_5739029211;red
EUW1_5739041684;red
EUW1_5739046949;red
EUW1_5739060111;red
EUW1_5739092201;blue
EUW1_5739095822;red
EUW1_5739096398;red
EUW1_5739099120;blue
EUW1_5739111763;blue
EUW1_5739114534;red
EUW1_5739117241;blue
EUW1_5739123482;blue
EUW1_5739153763;red
EUW1_5739168175;red
EUW1_5739180535;red
EUW1_5739184187;red
EUW1_5739186616;blue
EUW1_5739203048;blue
EUW1_5739226235;red
EUW1_5739230705;red
EUW1_5739245354;red
EUW1_5739249666;red
EUW1_5739256362;red
EUW1_5739257822;blue
EUW1_5739262217;red
EUW1_5739311031;blue
EUW1_5739319436;blue
EUW1_5739323233;blue
EUW1_5739337389;red
EUW1_5739345135;blue
EUW1_5739362727;red
EUW1_5739373035;red
EUW1_5739378805;blue
EUW1_5739386347;red
EUW1_5739409995;red
EUW1_5739421845;red
EUW1_5739451036;red
EUW1_5739469406;blue
EUW1_5739484339;blue
EUW1_5739489784;red
EUW1_5739503304;blue
EUW1_5739508211;red
